#Procedure: <__main__.tempProcedure>
#Parameters:
#	Measurement Delay: 0.5 s
#	Measurement Duration: 600 s
#	Sample Name: undefined
#	Save Directory: junk
#	Set Temperature: 20 C
#Data:
t,temperature,time
0.00019431114196777344,25.9,Wed Jun 12 10:39:48 2019
1.1759026050567627,25.9,Wed Jun 12 10:39:49 2019
2.039903402328491,25.9,Wed Jun 12 10:39:50 2019
2.8715319633483887,25.8,Wed Jun 12 10:39:51 2019
3.7189838886260986,25.8,Wed Jun 12 10:39:52 2019
4.5668110847473145,25.8,Wed Jun 12 10:39:53 2019
5.430326700210571,25.8,Wed Jun 12 10:39:54 2019
6.278087377548218,25.8,Wed Jun 12 10:39:55 2019
7.14177680015564,25.8,Wed Jun 12 10:39:55 2019
7.993385314941406,25.8,Wed Jun 12 10:39:56 2019
8.85304594039917,25.8,Wed Jun 12 10:39:57 2019
9.701363325119019,25.8,Wed Jun 12 10:39:58 2019
